season,player_name,player_age,player_position,player_overall,player_potential,buying_team,buying_team_budget,selling_team,league_avg_budget,transfer_fee
17,Betty Zohn,33,GK,33.25219200101075,78,Chelsea,105326796.99134241,Southampton,64199407.716298506,4522040.010363535
18,Carlos Vandeusen,32,GK,19.31906539047619,64,Manchester United,121071963.39768432,Nottingham Forest,64186827.19062539,3336695.347806212
18,Donald Bellamy,35,GK,37.38435653968544,85,Everton,47346640.474723004,Burnley,64156424.37088114,6834274.321742581
18,Robert Riley,35,GK,34.405795571640944,84,Bournemouth,36125588.69253019,Manchester City,64148787.05864219,2980561.865947742
19,Frederick Garcia,33,GK,31.570323889006904,65,Liverpool,89845311.84289673,Everton,64126926.66869651,4941903.789250638
19,Kristin Johnson,35,GK,48.447167009386646,85,Leicester,74221941.19587643,Tottenham,64104743.544256404,6884461.065136543
19,Neva Lofton,35,GK,24.826019233459505,84,Everton,49213462.291915506,Aston Villa,64094266.24219795,2865535.930889092
20,Elsa Richards,35,GK,35.4808900682307,75,Nottingham Forest,42885201.33563892,Wolves,64087980.1431108,2324834.878292735
20,Joseph Centeno,35,GK,34.833180447756234,82,Aston Villa,65188704.7130419,West Ham,64077978.95874407,2707964.8549672076
20,Sarah Gonzales,35,GK,30.2250966178692,63,Wolves,32793114.80223899,Crystal Palace,64070778.65347846,2533782.7435305496
21,Fred Bade,35,GK,28.71348106074729,72,West Ham,48830625.410455026,Leicester,64051853.87792375,6734750.194006488
21,Lee Poole,35,GK,28.310885791747793,65,Burnley,24276540.533007238,Arsenal,64041252.61675797,2368241.619061015
21,Antionette Barr,35,GK,24.115464380952382,90,Tottenham,57134569.52066893,Wolves,64030741.58324219,3241122.210422758
21,Larry Holt,35,GK,22.17658357202381,75,Leicester,76460824.24411812,Brighton,64011788.35828222,4116802.6465652413
22,Daniel Davis,35,GK,18.829313799143808,61,Arsenal,63850092.561765656,Tottenham,64003039.27431391,1961932.8497930863
22,Susan Hill,35,GK,23.26506095377043,75,Fulham,37665282.768280126,Newcastle,63994954.70247599,2125240.439167579
24,Dawn Bell,35,GK,24.15936993482972,90,Manchester City,142436537.91344255,Burnley,63987698.71136264,2433823.0289492793
24,Suzanne Navarrete,35,GK,23.02330937214876,90,Newcastle,99712299.47921517,West Ham,63979882.14408233,2066936.8018773526
25,Kris Ellis,35,GK,19.052380952380954,62,Crystal Palace,39110226.411815256,Arsenal,63974099.495086215,1630425.5166702257
27,Mario Case,35,GK,19.827560182787256,71,Wolves,33956240.02210387,Everton,63966802.59359318,1932058.9606971655
29,Krystle Ridenour,35,GK,18.527089523809522,66,Brighton,58715434.783718295,Manchester United,63961563.085237406,1826517.1331267506
29,Guy Mercier,35,GK,18.095238095238095,64,Aston Villa,65038930.32480178,Aston Villa,63954074.3658254,1809377.130848344
36,Kevin Keener,35,GK,18.004761904761907,61,Manchester United,121401415.86653617,Manchester City,63948139.312255226,1378363.5928713256
